report_date,Delta,BA.1,BA.2
2022-01-20,12.142857142857142,6,0.7142857142857143
2022-01-21,11.571428571428571,7.571428571428571,0.7142857142857143
2022-01-22,8.571428571428571,8.428571428571429,1.1428571428571428
2022-01-23,8.285714285714286,10.714285714285714,2.5714285714285716
2022-01-24,8.428571428571429,15.285714285714286,3.4285714285714284
2022-01-25,6.857142857142857,19.285714285714285,5.142857142857143
2022-01-26,7.571428571428571,26.857142857142858,9
2022-01-27,7.285714285714286,28.428571428571427,9.571428571428571
2022-01-28,6.571428571428571,30.285714285714285,10.428571428571429
2022-01-29,5.857142857142857,31.285714285714285,10.571428571428571
2022-01-30,4.571428571428571,29.571428571428573,10.285714285714286
2022-01-31,4.428571428571429,27.714285714285715,12.142857142857142
2022-02-01,4.571428571428571,24,11.857142857142858
2022-02-02,3.857142857142857,18.857142857142858,8.571428571428571
2022-02-03,2.857142857142857,18.571428571428573,9
2022-02-04,3,17.571428571428573,10
2022-02-05,3.4285714285714284,18.857142857142858,10.571428571428571
2022-02-06,2.857142857142857,23.428571428571427,11.142857142857142
2022-02-07,2.4285714285714284,26,10.285714285714286
2022-02-08,1.8571428571428572,32.714285714285715,9.571428571428571
2022-02-09,1.4285714285714286,32.42857142857143,10.285714285714286
2022-02-10,1.4285714285714286,34.42857142857143,9.428571428571429
2022-02-11,1.2857142857142858,40.285714285714285,11.142857142857142
2022-02-12,1,48.142857142857146,15.428571428571429
2022-02-13,0.7142857142857143,49.857142857142854,17.571428571428573
2022-02-14,0.2857142857142857,50.142857142857146,19.857142857142858
2022-02-15,0.2857142857142857,47.285714285714285,22
2022-02-16,0.14285714285714285,50.285714285714285,24.285714285714285
2022-02-17,0.14285714285714285,49.714285714285715,25.714285714285715
2022-02-18,0.14285714285714285,45.42857142857143,27
2022-02-19,0,41.42857142857143,27.142857142857142
2022-02-20,0,36.857142857142854,28.142857142857142
2022-02-21,0,33.142857142857146,27.285714285714285
2022-02-22,0,30.714285714285715,28.142857142857142
2022-02-23,0,26.571428571428573,28.142857142857142
2022-02-24,0,24.714285714285715,31.428571428571427
2022-02-25,0,23.571428571428573,34.285714285714285
2022-02-26,0,20.285714285714285,35.714285714285715
2022-02-27,0.14285714285714285,19.428571428571427,36.142857142857146
2022-02-28,0.14285714285714285,19,36.857142857142854
2022-03-01,0.14285714285714285,18.285714285714285,42.714285714285715
2022-03-02,0.14285714285714285,17.285714285714285,44.857142857142854
2022-03-03,0.14285714285714285,17.428571428571427,46.714285714285715
2022-03-04,0.14285714285714285,17.142857142857142,48.285714285714285
2022-03-05,0.14285714285714285,15,49.142857142857146
2022-03-06,0,15,51.285714285714285
2022-03-07,0,15.285714285714286,55.57142857142857
2022-03-08,0,14.285714285714286,53.285714285714285
2022-03-09,0,13.857142857142858,53.285714285714285
2022-03-10,0,13.142857142857142,53.42857142857143
2022-03-11,0,12.285714285714286,53.57142857142857
2022-03-12,0,12.714285714285714,55.142857142857146
2022-03-13,0,12,56.57142857142857
2022-03-14,0,9.857142857142858,57.142857142857146
2022-03-15,0,9.571428571428571,59
2022-03-16,0,9.428571428571429,59.42857142857143
2022-03-17,0,10,61.285714285714285
2022-03-18,0,10,60.714285714285715
2022-03-19,0,8.714285714285714,60.857142857142854
2022-03-20,0,8.571428571428571,63.57142857142857
2022-03-21,0,9.285714285714286,62
2022-03-22,0,8.857142857142858,60.57142857142857
2022-03-23,0,8.428571428571429,62.142857142857146
2022-03-24,0,6.857142857142857,57.42857142857143
2022-03-25,0,5.428571428571429,56.285714285714285
2022-03-26,0,5.142857142857143,55.857142857142854
2022-03-27,0,4,50.142857142857146
2022-03-28,0,2.857142857142857,50
2022-03-29,0,2.142857142857143,49
2022-03-30,0,1.7142857142857142,48.142857142857146
2022-03-31,0,1.5714285714285714,48
2022-04-01,0,1.2857142857142858,47.285714285714285
2022-04-02,0,0.7142857142857143,46.285714285714285
2022-04-03,0,0.7142857142857143,49.142857142857146
2022-04-04,0,0.5714285714285714,44.57142857142857
2022-04-05,0,0.5714285714285714,40.142857142857146
2022-04-06,0,0.42857142857142855,34.142857142857146
2022-04-07,0,0.42857142857142855,30.857142857142858
2022-04-08,0,0.42857142857142855,23.857142857142858
2022-04-09,NA,NA,NA
2022-04-10,NA,NA,NA
2022-04-12,NA,NA,NA
